id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
298,0,52,48,1,2004,13,1,2,2,1,2,5,1,0,1,1,18,1,2,2,1,0,3,1,2,1,0,0,0,1,0,2,NA,2,NA,16,17
299,0,72,74,1,1964,10,5,2,2,4,NA,NA,1,0,0,NA,13,5,5,6,1,2,1,4,1,2,0,0,0,NA,0,NA,NA,NA,NA,13,13
300,0,52,54,1,1987,12,1,2,1,1,2,3,1,0,1,1,17,1,2,4,1,0,1,3,1,2,0,0,0,NA,5,2,NA,2,NA,16,16
301,0,60,56,1,2002,8,4,2,NA,2,1,3,1,0,0,1,15,1,1,5,4,3,1,3,1,2,0,0,0,1,0,2,NA,2,NA,13,12
302,0,69,65,1,1966,9,1,1,NA,1,1,4,1,0,1,1,18,5,1,6,3,4,1,1,2,1,0,0,0,NA,0.75,2,NA,2,NA,13,12
303,0,59,63,1,1998,10,3,2,NA,1,3,5,1,0,1,1,16,1,5,5,3,2,1,3,1,2,0,0,0,NA,6,2,NA,2,NA,12,13
304,0,67,69,1,1968,12,6,2,1,1,1,5,1,0,1,1,15,1,7,3,1,5,1,2,1,2,0,1,0,NA,6,2,NA,2,NA,13,16
305,0,80,87,1,2000,9,2,2,NA,4,NA,NA,1,0,0,NA,12,5,2,2,1,2,1,2,1,2,0,1,0,2,0,2,NA,NA,NA,10,12
306,1,35,42,1,2000,10,4,2,NA,3,2,2,1,0,0,2,6,1,3,6,1,3,1,3,1,2,0,0,0,NA,0.25,2,NA,1,0,12,13
307,0,66,66,1,1975,9,4,2,NA,4,NA,NA,1,0,0,NA,14,1,2,5,1,1,1,2,1,2,0,0,0,NA,7,2,NA,NA,NA,16,12
308,0,71,69,1,1973,12,7,2,1,1,2,5,1,0,1,1,12,5,7,6,2,0,1,1,1,2,0,0,0,NA,3,2,NA,2,NA,17,16
309,0,58,57,1,1978,13,1,2,1,1,1,5,1,0,1,1,17,1,3,2,1,0,1,1,2,1,0,1,0,NA,0.75,2,NA,2,NA,17,17
